# setname	status	fps_no_present	driver_file	drc	fallback	title
topgunnr	OK	55.6	exidy/vertigo.cpp	-	-	Top Gunner (Exidy)
cchance	OK	55.5	taito/cchance.cpp	-	-	Cherry Chance
chwrestl	OK	55.5	sega/sg1000a.cpp	-	-	Champion Pro Wrestling
kuzmich	OK	55.4	apple/superga2.cpp	-	-	Kuzmich-Egorych
springer	OK	55.4	orca/marineb.cpp	-	mame4all	Springer
klax	OK	55.3	atari/klax.cpp	-	mame4all	Klax (version 6)
vsgongf	OK	55.3	taito/tsamurai.cpp	-	mame4all	VS Gong Fight
gundealr	OK	55.2	dooyong/gundealr.cpp	-	mame4all	Gun Dealer
skyarmy	OK	55.2	misc/skyarmy.cpp	-	-	Sky Army
berenstn	OK	55.1	misc/tugboat.cpp	-	-	The Berenstain Bears in Bigpaw's Cave
dindice	OK	55.1	ussr/special_gambl.cpp	-	-	Dice game
emeralda	OK	55.1	namco/namcona1.cpp	-	-	Emeraldia (World)
gnbarich	OK	55.1	psikyo/psikyosh.cpp	sh	-	Gunbarich
gocowboy	OK	55.1	sigma/sammymdl.cpp	-	-	Go Go Cowboy (English, prize)
mightguy	OK	55.0	nichibutsu/cop01.cpp	-	mame4all	Mighty Guy
moguchan	OK	55.0	orca/zodiack.cpp	-	mame4all	Mogu Chan (bootleg?)
slspirit	OK	55.0	promat/1945kiii.cpp	-	-	Solite Spirits
daioh	OK	54.9	seta/seta.cpp	-	mame4all	Daioh
grndtour	OK	54.9	igs/iqblock.cpp	-	-	Grand Tour (V100U)
quizdna	OK	54.9	nmk/quizdna.cpp	-	-	Quiz DNA no Hanran (Japan)
tbeastw2	OK	54.9	sigma/sigmab98.cpp	-	-	Transformers Beast Wars II
bs94	OK	54.8	misc/re900.cpp	-	-	Buena Suerte '94
haekaka	OK	54.8	sigma/sammymdl.cpp	-	-	Hae Hae Ka Ka Ka
crospang	OK	54.7	f32/crospang.cpp	-	-	Cross Pang
burglarx	OK	54.6	unico/unico.cpp	-	-	Burglar X
chewheel	OK	54.6	misc/mil4000.cpp	-	-	Cherry Wheel (Version 1.7)
ladykill	OK	54.6	metro/metro.cpp	-	-	Lady Killer
gegege	OK	54.5	sigma/sigmab98.cpp	-	-	GeGeGe no Kitarou Youkai Slot
spacbeam	OK	54.5	irem/m10.cpp	-	mame4all	Space Beam
genix	OK	54.4	nix/pirates.cpp	-	-	Genix Family
piratetr	OK	54.4	alliedleisure/killcom.cpp	-	mame4all	Pirate Treasure
atehate	OK	54.3	seta/seta.cpp	-	mame4all	Athena no Hatena?
